Zone ID,Zone name,England,Scotland,Wales,Northern Ireland,United Kingdom (part not stated),Channel Islands,Isle of Man,Irish Republic,Ireland (part not stated),Australia,Canada,New Zealand,Kenya,Malawi,Tanzania,Uganda,Zambia,Zimbabwe,"Botswana, Lesotho and Swaziland",Gambia,Ghana,Nigeria,Sierra Leone,Barbados,Jamaica,Trinidad and Tobago,Other Independent States,Caribbean Dependent Territories,West Indies (so stated),Belize,Guyana,Bangladesh,India,Pakistan,Sri Lanka,Hong Kong,Malaysia,Singapore,Cyprus,Gibraltar,Malta and Gozo,Mauritius,Seychelles,Other New Commonwealth,Belgium,Denmark,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Spain,Albania,Austria,Bulgaria,Czechoslovakia,Finland,Hungary,Norway,Poland,Romania,Sweden,Switzerland,Yugoslavia,Other Europe,Turkey,U.S.S.R,Algeria,Eygpt,Libya,Morocco,Tunisia,"South Afria, Republic of",Other Africa,United States of America,Caribbean,Central America,South America,Iran,Israel,Other Middle East,"Burma (Myanmar, Union of)","China, Peoples Republic of",Japan,Philippines,Vietnam,Other Asia,Rest of World and at sea/in the air
10DJFK,Lewsey,10620,326,146,107,1,1,2,448,0,10,7,2,87,0,12,29,3,2,0,1,2,10,0,29,143,5,72,0,34,0,13,37,171,114,7,15,1,2,7,4,8,10,0,6,1,0,4,41,0,30,0,3,0,6,0,5,1,1,2,4,2,34,2,1,0,15,0,7,2,0,1,0,2,1,3,1,13,1,1,4,3,5,5,3,5,0,2,2,1,1
10DJFL,Limbury,7580,219,143,99,1,1,0,674,0,9,5,3,59,0,8,12,3,3,0,0,2,9,0,10,72,9,37,0,9,0,2,1,151,92,4,12,6,4,10,4,7,2,0,0,1,0,8,31,3,40,0,2,4,13,0,2,0,1,3,11,0,12,0,2,0,0,0,11,4,0,1,2,0,0,11,0,12,0,0,1,4,2,0,2,3,0,2,0,1,4
10DJFM,Putteridge,12591,304,146,97,1,3,2,380,0,12,12,4,41,0,8,16,10,2,0,0,6,1,0,12,32,7,23,0,6,0,12,1,99,17,4,16,10,5,3,5,6,8,4,1,2,0,7,29,1,41,0,0,6,5,0,5,0,3,3,14,1,11,2,0,2,1,0,1,4,0,4,0,2,1,11,2,12,0,1,3,0,2,10,1,2,0,13,12,1,0
10DJFN,Saints,7480,158,102,92,2,3,2,505,0,8,8,5,145,0,23,43,5,13,0,0,6,9,2,29,146,9,76,2,14,0,5,209,360,866,23,12,1,4,3,0,3,5,1,1,5,7,11,16,1,69,0,9,1,3,0,3,0,5,0,6,0,26,0,0,0,4,0,1,9,0,3,0,0,0,8,3,10,1,0,3,6,0,4,0,4,1,3,0,0,1
10DJFP,South,7241,409,102,120,1,3,0,737,0,5,10,4,41,1,5,15,3,5,2,1,1,3,1,15,80,2,35,2,4,0,1,40,96,103,4,8,14,9,8,2,6,2,1,0,4,3,9,32,3,45,1,5,2,5,0,1,0,3,0,22,0,34,2,1,3,4,0,9,4,1,2,4,3,0,9,5,11,2,3,4,3,0,12,0,7,2,3,28,4,0
10DJFQ,Stopsley,8012,253,105,71,0,6,0,399,0,8,7,2,37,0,3,18,4,3,1,0,7,1,2,3,41,2,33,0,5,0,4,37,102,70,4,9,6,5,6,5,8,9,0,0,0,4,2,32,0,69,0,1,0,4,0,0,0,0,0,10,1,12,0,0,0,1,0,1,5,0,4,2,0,0,3,1,10,1,0,1,1,2,12,0,1,0,2,0,1,0
10DJFR,Sundon Park,8770,229,85,81,3,0,0,415,0,3,6,2,107,0,15,20,2,2,0,0,13,3,0,15,124,9,49,3,8,0,13,71,146,71,6,12,10,1,15,0,11,8,0,4,3,3,3,37,6,16,0,4,2,0,0,0,0,0,0,11,0,7,1,0,0,0,0,4,4,0,7,0,0,2,10,0,12,2,0,1,4,0,3,5,3,0,3,25,6,3
10DJSS,Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10DKFA,Ampthill,5737,118,90,32,0,0,0,43,0,10,7,10,0,0,0,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,3,2,8,6,2,9,3,1,2,1,3,0,0,0,3,1,6,19,0,10,0,3,1,7,0,4,0,1,0,0,2,5,0,1,2,5,0,0,4,0,2,0,0,0,15,0,21,0,1,1,4,1,3,0,5,1,1,0,0,0
10DKFB,Arlesey,3971,72,36,14,0,0,4,48,0,3,3,1,4,0,3,3,1,3,0,0,0,0,0,5,6,1,2,1,0,0,0,0,30,0,2,3,2,2,5,0,4,4,0,0,1,0,3,22,3,41,0,1,0,4,0,1,0,0,0,5,2,5,0,0,0,3,0,0,4,0,0,1,0,0,7,1,27,0,0,1,2,0,3,0,0,0,5,0,0,0
